Portee,Distance Totale,Club,Vitesse de balle,Apex,Angle envol,Dispersion,Distance au drapeau
188,205,3,131,26,"14,8","5,3","8,4"
176,186,3,126,37,"20,7","37,6","47,4"
193,208,3,134,31,"16,7","25,7","30,1"
193,211,3,132,26,"14,8","7,4","9,2"
183,194,3,127,34,"19,3","10,9","16,9"
201,223,3,138,22,"12,1","2,4","18,9"
194,210,3,133,30,"16,8","18,1","22,1"
184,197,3,132,30,"16,6","29,2","35,7"
191,208,3,130,29,"17,1","12,6","15,2"
202,220,3,138,27,"13,3","17,8","24,5"
159,167,4,124,30,"17,3","34,3","57,4"
